"RE_ID","USER_ID","MOTEL_ID","RE_MOTEL_RATING1","RE_MOTEL_REVIEWS"
"72","72","10","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"73","73","10","5","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"74","74","10","5","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"75","75","10","5","nhà trọ thoát mát sạch đẹp luôn không gian yên tĩnh"
"76","76","10","4","Bình thường tiền nào của nấy"
"77","77","10","5","Nhà trọ an ninh, có wifi, camera, thuận tiện giao thông, ăn vặt..."
"78","78","10","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"79","79","10","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"80","80","11","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"81","81","11","4","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"82","82","11","4","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"83","83","11","5","Ở đây ăn nhậu thâu đêm hát hò thoãi mái k sợ chủ nhắc nhỡ...Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"84","84","11","5","Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"85","85","11","4","Nhà trọ rộng rãi nhưng hơi nóng. Yên tâm yên tĩnh yên lòng"
"86","86","11","5","Nhà trọ sạch sẽ, yên tĩnh, an ninh tốt. Phục vụ khách hàng tốt, phòng sạch sẽ"
"87","87","11","4","An ninh chặt chẻ
Quản lí dân dư tốt
Không khí trong lành"
"88","88","11","5","đang ở đây, sạch sẽ, an ninh được ưu tiên cao. Nhà trọ sạch sẽ, giá hợp lý, sẽ tuyệt vời hơn nếu gắn quạt hút vì hơi nóng.
"
"89","89","11","5","Nhà trọ mới sạch đẹp, lối đi rất rộng và thoáng mát. Hẻm rộng có camera của công an, trong nhà trọ cũng có camera rất an ninh."
"90","90","11","5","Giá cả hợp lý. An toàn, an ninh tốt. Gần Đại học Tây Đô."
"91","91","12","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"92","92","12","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"93","93","12","5","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"94","94","12","4","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"95","95","12","3","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"96","96","12","4","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"97","97","12","2","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"98","98","12","2","nhà trọ thoát mát sạch đẹp luôn không gian yên tĩnh"
"99","99","12","1","Bình thường tiền nào của nấy"
"100","100","12","5","Nhà trọ an ninh, có wifi, camera, thuận tiện giao thông, ăn vặt..."
"101","101","12","4","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết, Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"102","102","13","5","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê. Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"103","103","13","5","Nhà trọ hiện đại, sạch sẽ, an ninh, yên tĩnh, đường truyền wifi mạnh, ngay mặt tiền đường chính thuận tiện cho việc đi lại"
"104","104","13","1","Mọi thứ tuyệt vời. An ninh, sạch sẽ, thân thiện! Sạch sẽ, an toàn, giá cả hợp lý"
"105","105","13","5","Nhà trọ cũ rồi, ở được, an ninh, giới hạn giờ giấc. Ánh sáng không tốt và khá là nóng"
"106","106","13","5","Ở đây ăn nhậu thâu đêm hát hò thoãi mái k sợ chủ nhắc nhỡ...Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"107","107","13","4","Nhà trọ rộng rãi. Thoáng, nhưng hơi nóng. Nhất là vào mùa hè. Ông chủ, bà chủ trọ dễ thương. Trọ có 1 hàng ba ở phía trước trồng cây cũng được. Đường đi rộng rãi. Giá thuê 1tr/ 1 tháng ( tháng 6/2020)."
"108","108","13","5","Nhà trọ rộng rãi nhưng hơi nóng. Yên tâm yên tĩnh yên lòng"
"109","109","13","4","Phòng k sạch lắm
Giá cả hợp lí"
"110","110","13","2","An ninh , giá cả hợp lý"
"111","111","13","3","Vị trí Mặt tiền đường Trần Nam Phú (Lộ ngân hàng) dễ tìm kiếm, dễ đi lại thuận tiện hơn"
"112","112","13","5","Xóa bài đánh giá 1 sao để cao điểm bình chọn ảo? Làm ăn gian lận vậy ad?"
"113","113","14","5","Phòng nầy bao tiền 1 tháng vậy các bạn"
"114","114","14","5","Nhà trọ rộng rãi, thoáng mát."
"115","115","14","5","Nhìn khách quan thì nhà trọ sạch đẹp an toàn"
"116","116","14","4","Nhà trọ tháng giá bình dân dành cho sinh viên"
"117","117","14","5","Khá ổn nhà rộng, sạch sẽ."
"118","118","14","5","Đường đi chưa tốt"
"119","119","14","2","Có sân phơi đồ riêng, nhà để xe nữa, wifi, camera ..."
"120","120","14","4","Nhà trọ an ninh, có wifi, camera, thuận tiện giao thông, ăn vặt..."
"121","121","14","4","Mọi thứ tuyệt vời"
"122","122","14","3","Sạch sẽ, thoáng mát, an ninh cao, giá cả phù hợp, ông chủ dễ chịu."
"123","123","15","4","Ở đây ông chủ rất dễ tính.va khu nhà trọ cũng rất yên tĩnh và an toàn vì đc lắp khá nhìu camera . Giá phòng cũng vừa phải.."
"124","124","15","1","Chủ trọ thân thiện dễ gần vui vẻ, trọ ở yên tĩnh. Phòng trọ rộng rãi thoáng mát, có nhiều camera, đặc biệt có chó giữ nhà rất giỏi."
"125","125","15","2","Cho em hỏi còn phồng không ạ"
"126","126","15","5","800k rất hài lòng, phòng trọ phù hợp giá tiền."
"127","127","15","5","Nhà trọ hơi bì tù do nhiều phòng, giá hơi cao so với phòbg nhưng được cái nước ko ngập, ở 1 mình ok {tùy chổ, phòng mình 800k, có chổ 1 p 2tr3). Chủ trọ không có ở chung nên cũng thoải mái, đóng tiền trọ chễ ko bị la rầy như chổ khác."
"128","128","15","3","nhà  trọ thoát mát sạch đẹp  luôn
không gia yên tĩnh nữa"
"129","129","15","5","Bình thường tiền nào của nấy"
"130","130","15","5","Buổi tối khá là yên tỉnh"
"131","131","15","5","An ninh tốt"
"132","132","15","4","Chủ trọ dễ thương lắm"
"133","133","15","4","Phòng k sạch lắm
Giá cả hợp lí"
"134","134","15","4","An ninh , giá cả hợp lý"
"135","135","15","3","Nhà Trọ có sân vườn, hồ cá, nơi đậu xe quá rộng, sân phơi đồ. Vừa ý mình"
"136","136","16","5","Nhà Trọ Sinh Viên tuyệt nhất Cần Thơ"
"137","137","16","5","Qua rộng, mát mẻ, chủ trọ hiền, tốt bụng ok hết "
"138","138","16","4","Đây là nhà nghỉ mà chủ có lối hành xử thô thiển nhất tui từng biết. Chủ người Bắc nói tục chửi thề với khách thật không ra gì"
"139","139","16","1","Gần truòng ĐHCT"
"140","140","16","5","Chỗ tui ở mà"
"141","141","16","5","Nhà trọ sinh viên sạch, sinh viên vui vẻ"
"142","142","16","3","Nhà trọ sạch sẽ, an toàn giá cả hợp lí, với lại có anh chủ trọ đẹp trai nữa :))) thích ghê"
"143","143","16","2","Cho em hỏi nhà trọ 1tháng giá bao nhiêu vậy ạ"
"144","144","16","2","Trọ an ninh tuyệt đối, sạch sẽ, trật tự.bạn trọ hòa đồng chủ trọ dễ thương."
"145","145","16","1","Nhà trọ lớn 4*10m, có phòng khách, phòng ngủ, bếp, WC. An ninh, yên tĩnh, ko qui định giờ khóa cửa cố định, mỗi nhà có chìa khoá rào riêng. Giá cả hợp lí"
"146","146","17","1","Nha tro dep, gia re"
"147","147","17","5","Trọ khá khuất với lại tối ở trong phòng buổi sáng cx phải bật đèn"
"148","148","17","4","Phòng trọ to, rộng, giá rẻ nhưng hay nghẹt cầu và đường lưu thông nội bộ rất bé"
"149","149","17","2","An ninh"
"150","150","17","3","Sạch sẽ, thoáng mát, tiện lợi"
"151","151","17","3","Nhà trọ rộng rãi, thoáng mát, có nơi để xe riêng, camera an ninh"
"152","152","17","4","Nhà trọ cũng tạm được"
"153","153","17","3","Nhậu vui quá,ae nhiệt tình"
"154","154","17","5","Phòng trọ rẻ ,ăn ninh"
"155","155","17","4","Cảnh báo nóng. Từ tháng 1 đến tháng 12 nóng quanh năm, phơi đồ bao khô cho mọi thời tiết. Wifi free đúng chuẩn éo dùng được. Hai dãy phòng đối diện bao vui và náo nhiệt mọi thời điểm nhá. Nơi hội tụ của những diện có sổ hộ giàu lắp máy lạnh. Hàng xóm bao OK và nhiệt tình (Vừa dọn tới là có người đến chia buồn)."
"156","156","17","4","Được"
"157","157","17","5","Hơi nóng, có nhiều thành phần hỗn tạp, wifi yếu"
"158","158","18","5","Không tiện nghi"
"159","159","18","4","Wifi yếu quá"
"160","160","18","5","Sạch sẽ đầy đủ tiện nghi an ninh"
"161","161","18","4","Nóng, hôi cống và hơi ồn."
"162","162","18","5","Nha tro moi sach dep, gia binh dan"
"163","163","18","5","NÓNG, wifi yếu xài ko đc"
"164","164","18","4","Phòng có nhiều chuột và gián."
"165","165","18","5","Đồng ý"
"166","166","18","4","Ok"
"167","167","18","5","Chỗ ở thì ổn nhưng xung quanh thiếu tiệm tạp hóa, chỉ có duy nhất 1 tiệm, tiệm này bán công buổi trưa và chiều nhưng giá khá chác, 20k."
"168","168","18","4","Được"
"169","169","18","5","Nhà trọ thoáng mát, sạch sẽ, an ninh trật tự tốt."
"170","170","19","4","An ninh tốt, quản lí thân thiện, đường vào trọ không quá xa, điện nước giá theo quy định, phòng còn mới, phòng không bị ngập nước"
"171","171","19","5","Nhà rộng, sạch sẽ, quản lí nhiệt tình vui vẻ
Tuy nhiên, phòng 34 cửa toilet chưa được sửa chữa, nhiều gián ( sợ nhất con này), lối đi chật, dắt xe hk ra được."
"172","172","19","4","Nhà khá sâu trong hẻm, xe 4 bánh chưa thực sự vào được, cúp điện thường xuyên vào mùa mưa, đường vắng nhiều khúc cua nguy hiểm khi đi hẻm 112 đường 3/2 vào."
"173","173","19","5","Nhà trọ mới đẹp, có điều vào hẻm sâu quá"
"174","174","19","5","Quá nhiều gián"
"175","175","19","5","Không tốt"
"176","176","19","5","Tốt"
"177","177","19","5","Nhà trọ văn minh, lịch sự"
"178","178","19","3","Tiếc là"
"179","179","19","5","Nhà trọ có camera an ninh, giờ tự do, có khóa cổng chính, phòng làm ổ khóa ko kiên cố cho lắm, tuy nhiên nhiều phòng nên ko có chuyện ng lạ vào bẻ khóa mà ko ai hay. Chổ để xe nhỏ và để chung ở góc cầu thang dễ mất nếu có nội gián trong nhà trọ!"
"180","180","19","5","Nhà trọ Phược Lộc 63X Tổ 10"
"181","181","20","5","Thấy tạm được có điều đường chưa được ok lắm, và đi vào ban đêm ko đc an toàn cho lắm"
"182","182","20","5","Nhà trọ là phải lưu ý bị trộm, do nhiều người ra vào và có kẻ xấu trà trộn với mọi hình thức. Nên cẩn thận cửa nẻo dù chỉ quay mặt vô tolet."
"183","183","20","5","Sạch swx. Thoáng mát. Lịch sự. Giá cả phải chăng."
"184","184","20","5","Khá ổn nhưng ngõ vào thì hẹp với đường xấu"
"185","185","20","4","Giơ dáy. Ngập nước"
"186","186","20","5","Mọi thứ đều ổn cho tới mùa nước lên và có phòng bị trộm đồ"
"187","187","20","5","Khá yên tĩnh! 1 lựa chọn khá tốt"
"188","188","20","5","Giá sinh viên"
"189","189","20","5","Cũng tạm... kem cheese ngọt quá"
"190","190","21","4","cũng duoc"
"191","191","21","4","Nhân viên rất oke, trà sữa tạm"
"192","192","21","5","Bình dân"
"193","193","21","5","Sạch sẽ"
"194","194","21","4","Nhờ Bạn đánh giá vậy !"
"195","195","21","5","Hơi ẩm"
"196","196","21","4","Tiện nghi"
"197","197","21","5","Nhà trọ đáng để thuê"
"198","198","21","5","Nhà trọ an ninh tốt"
"199","199","21","5","Dk"
"200","200","21","5","Tạm chấp nhận được"
"201","201","22","5","Đươc"
"202","202","22","5","Tam duoc"
"203","203","22","4","Thoáng mát,  an ninh"
"204","204","22","3","ngập"
"205","205","22","4","Duoc"
"206","206","22","2","Dơ lắm"
"207","207","22","2","Tôi đã sống ở đây được 5 năm ..."
"208","208","22","1","Ok"
"209","209","22","5","Good"
"210","210","23","4","Good"
"211","211","23","5","Nhà trọ thoáng mát, sạch sẽ, yên tĩnh. Sáng thức giấc không gian bình yên như ở quê. Rất thoải mái. Giá cả hợp lý, an ninh, không gian thoáng. Giá cả cũng tương đối hợp lý được cái khu này an ninh tốt nên ở khá an tâm nhé"
"212","212","23","5","Giá cả hợp lý, an ninh, không gian thoáng"
"213","213","23","1","Giá cả cũng tương đối hợp lý được cái khu này an ninh tốt nên ở khá an tâm nhé"
"214","214","23","5","Rất tốt"
"215","215","23","5","Rất tốt"
"216","216","23","4","Tot"
