"MOTEL_ID","MOTEL_NAME","MOTEL_LABEL","MOTEL_ADDRESS","MOTEL_LOCATION","MOTEL_RATING","MOTEL_AREA","MOTEL_PRICE","MOTEL_CONTENT","MOTEL_VIEWS","MOTEL_IMAGE","MOTEL_PRICE_2","MOTEL_VIEWS_2"
"10","NHA TRO GAN TRUONG  DAI HOC TAY DO","Rất tốt","Địa chỉ: 09D KV Thanh Hue, P. Thuong Thanh, Q Cai Răng, TPCT","Cái Răng","3","DT: 13.00 m²","700000","Nhà trọ Minh Luân + ngay cầu lê bình - Cặp bên Áo cưới Hoàng Kim( Gần chợ Cái Răng) + Điện 3000đ nước 7000dd + Phòng 700k + Wifi miễn Phí + có cỗng rào phòng có chìa khóa riêng + Có Camera an ninh + Không ngập nước... Xem thêm","20910","NhaTro/image_motel/10.jpg","Dưới 1 triệu","Khá"
"11","NHÀ TRỌ NGÂN SƠN (Đường Nguyễn Văn Cừ-Gần ĐHYD Cần Thơ).","Rất tốt","Địa chỉ: Địa chỉ: 388F35 (Hẻm liên tổ 3-4), Nguyễn Văn    Cừ, TPCT.","Ninh Kiều","5","DT: 22.00 m²","1000000","NHÀ TRỌ NGÂN SƠN (Đường Nguyễn Văn Cừ-Gần ĐHYD Cần Thơ).  Phòng sạch sẽ, thoáng mát, diện tích 22m2 ,có gác đúc, camera an ninh.           Giá: 1 triệu/tháng.  Địa chỉ: 388F35 (Hẻm liên tổ 3-4), Nguyễn Văn    Cừ, TPCT.  Điện thoại liên hệ: 0939.016650 (Chị Tiên).... Xem thêm ","74694","NhaTro/image_motel/11.jpg","Trên 2 triệu","Rất tốt"
"12","Cho thuê nhà trọ 650k tại cầu Rạch Súc Cần Thơ","Rất tốt","Địa chỉ: 59D/6 tổ 7, khu vực Bình Phó A, phường Long Tuyền, quận Bình Thủy","Bình Thủy","5","DT: 18.00 m²","650000","Nhà trọ - Thoáng mát - An ninh - Wc trong - Wifi miễn phí - Có gác - Giờ giấc tự 650.000 ₫ Cần Thơ Nhà trọ sinh viên giá rẻ - Thoáng mát - An ninh - Wc trong - Wifi miễn phí - Có gác - Giờ... Xem thêm","34712","NhaTro/image_motel/12.jpg","Dưới 1 triệu","Khá"
"13","Cho thuê nhà trọ đẹp giá rẻ 650k tại cầu Rạch Súc Cần Thơ","Rất tốt","Địa chỉ: 59D/6 tổ 7, khu vực Bình Phó A, phường Long Tuyền, quận Bình Thủy","Bình Thủy","3","DT: 18.00 m²","650000","Nhà trọ - Thoáng mát - An ninh - Wc trong - Wifi miễn phí - Có gác - Giờ giấc tự 600.000 ₫ Cần Thơ Nhà trọ sinh viên giá rẻ - Thoáng mát - An ninh - Wc trong - Wifi miễn phí - Có gác - Giờ... Xem thêm","19291","NhaTro/image_motel/13.jpg","Dưới 1 triệu","Khá"
"14","CHO SINH VIÊN THUÊ PHÒNG TRỌ Trần Việt Châu","Rất tốt","Địa chỉ: 32/4A Hẻm 38 đường Trần Việt Châu, phường An Hòa, TP Cần Thơ.","Ninh Kiều","5","DT: 21.00 m²","1000000","Các em có nhu cầu vui long liên hệ cô Vân. Địa chỉ: 32/4A Hẻm 38 đường Trần Việt Châu, phường An Hòa, TP Cần Thơ. Ưu điềm:   gần chợ   gần truòng Cao đẳng kinh tế kỹ thuật, ĐH Kỹ thuật công nghệ, Cao đẳng y tế   hẻm lớn thông... Xem thêm ","93004","NhaTro/image_motel/14.jpg","Trên 2 triệu","Rất tốt"
"15","CHO THUÊ NHÀ TRỌ THÁNG - KHU NÔNG THỔ SẢN ĐỐI DIỆN BV HOÀN MỸ CỬU LONG","Rất tốt","Địa chỉ: K11, đs 2, KdC Nông Thổ Sản, phía sau Ford cần thơ","Ninh Kiều","5","DT: 26.00 m²","1600000","Cho thuê nhà trọ cao cấp tại khu Nông Thổ Sản - Nam Cần Thơ.  Nhà trọ cao ráo, thoáng mát, sạch đẹp, thiết kế theo phong cách tây cổ điển. Diện tích sử dụng 26m2, có gác lửng đổ bê tông lót và dán toàn bộ gạch bạch mã... Xem thêm ","35316","NhaTro/image_motel/15.jpg","1 triệu - 2 triệu","Khá"
"16","CHO THUÊ NHÀ TRỌ CAO CẤP - NAM CẦN THƠ - DIỆU HIỀN","Rất tốt","Địa chỉ: k11, Đường số 2, KDC Nông Thổ Sản, P. Phú Thứ, Q. Cái Răng, TP. Cần Thơ","Cái Răng","5","DT: 26.00 m²","1600000","Nhà trọ cao ráo, thoáng mát, sạch đẹp, thiết kế theo phong cách tây cổ điển. Diện tích sử dụng 26m2, có gác lửng đổ bê tông lót và dán toàn bộ gạch bạch mã chất lượng cao, trần thạch cao, có bếp và tủ bếp, có vị trí đặt... Xem thêm ","39433","NhaTro/image_motel/16.jpg","1 triệu - 2 triệu","Khá"
"17","CHO THUÊ PHÒNG TRỌ CAO CẤP - NÔNG THỔ SẢN - NAM CẦN THƠ","Rất tốt","Địa chỉ: K11, KDC Nông Thổ Sản, Nam Cần Thơ.","Ninh Kiều","3","DT: 26.00 m²","1600000","- Nhà trọ cao cấp cao ráo, thoáng mát, sạch đẹp, thiết kế theo phong cách tây cổ điển. Diện tích sử dụng 26m2 có gác lững trần thạch cao, có bếp và tủ bếp. có vị trí đặt tủ lạnh và máy giặt. thiết bị nội thất cao cấp.... Xem thêm ","19638","NhaTro/image_motel/17.jpg","1 triệu - 2 triệu","Khá"
"18","CHO THUÊ NHÀ TRỌ CAO CẤP - TẠI KHU NÔNG THỔ SẢN  - PHÍA SAU FORD CẦN THƠ","Trung bình","Địa chỉ: K11, đường số 2, KDC Nông Thổ Sản, P. Phú Thứ, Cái Răng","Cái Răng","2","DT: 26.00 m²","1600000","Cho thuê nhà trọ cao cấp, diện tích 26m2, phòng thường 1.6tr. Phòng có máy lạnh Giá 2tr. Có Camera an ninh, truyền hình cáp, wifi miễn phí. Địa chỉ: Khu Nông Thổ Sản, P. Phú Thứ, Q. Cái Răng. Phía sau hãng xe Ford Cần Thơ Điện thoại liên... Xem thêm ","13646","NhaTro/image_motel/18.jpg","1 triệu - 2 triệu","Khá"
"19","CHO THUÊ NHÀ TRỌ CAO CẤP TẠI KHU NÔNG THỔ SẢN - PHÍA SAU HÃNG XE FORD","Khá tốt","Địa chỉ: k11, Khu Nông Thổ Sản, P. Phú Thứ, Q. Cái Răng, Cần Thơ","Cái Răng","2","DT: 26.00 m²","1600000","Cho thuê nhà trọ cao cấp, diện tích 26m2, phòng thường 1.6tr. Phòng có máy lạnh Giá 2tr. Có Camera an ninh, truyền hình cáp, wifi miễn phí. Địa chỉ: Khu Nông Thổ Sản, P. Phú Thứ, Q. Cái Răng. Phía sau hãng xe Ford Cần Thơ Điện thoại liên... Xem thêm ","10026","NhaTro/image_motel/19.jpg","1 triệu - 2 triệu","Khá"
"20","Cho thuê phòng trọ đầy đủ tiện nghi tại trung tâm TP.Cần Thơ","Rất tốt","Địa chỉ: 21-3 tran phu ,ninh kieu ,can tho","Ninh Kiều","5","DT: 16.00 m²","1500000","Phòng trọ đẹp, sạch sẽ, thoáng mát, yên tĩnh, đầy đủ tiện nghi có sẵn, bao gồm: tivi, máy lạnh, máy nước nóng, tủ quần áo, wifi tại địa chỉ số 21/3 Trần Phú, tp Cần Thơ, ngay đầu hẻm (gần khu trung tâm thương mại, ăn uống, siêu thị,... Xem thêm ","55457","NhaTro/image_motel/20.jpg","1 triệu - 2 triệu","Tốt"
"21","Phòng trọ cao cấp khu trung tâm thương mại cần thơ","Rất tốt","Địa chỉ: 21 tran phu ,ninh kieu ,tp can tho","Ninh Kiều","5","DT: 16.00 m²","1500000","Cho thuê phòng trọ cao cấp ,đầy đủ tiện nghi tại đường trần phú ,tivi ,máy lạnh ,máy nước nóng ,tủ lạnh ,máy nước nóng ,tủ quần áo ,bàn ghế ,giường đôi ,free wifi ,…địa chỉ 21/3 trần phú ,q,ninh kiều ,tp cần thơ giá 1tr5 ,lh : 0913785087 chị... Xem thêm ","57730","NhaTro/image_motel/21.jpg","1 triệu - 2 triệu","Tốt"
"22","Phòng trọ cho thuê giá 1.000.000","Rất tốt","Địa chỉ: 49X1/7 Nguyễn Văn Linh - KV3 - P An Khánh - Q Ninh Kiều - TPCT","Ninh Kiều","5","DT: 15.00 m²","1000000","Phòng trọ cho thuê từ 1 -2 người ạ.. Mô tả qua hình ảnh các bạn nhé.  Địa chỉ 49X1/7 Nguyễn Văn Linh, P An Khánh, Q Ninh , TPCT ( sau BV Đa khoa TW), mình có kèm bản đồ bên dưới) Nhà trọ mình #mớixây nằm trong khu... Xem thêm ","78259","NhaTro/image_motel/22.jpg","Trên 2 triệu","Rất tốt"
"23","Cho thuê phòng trọ sinh viên giá 700. Địa chỉ: KDC METRO","Rất tốt","Địa chỉ: 6/2 KDC METRO, P.HƯNG LỢI, Q.NINH KIỀU, TPCT","Ninh Kiều","5","DT: 14.00 m²","700000","Cho thuê phòng trọ sinh viên giá 700.000/phòng/tháng, diện tích 14m2 (không có gác), có giường, có tv, có wifi, có nhà vệ sinh trong phòng, có lối đi và cổng rào riêng, gần siêu thị Mega Địa chỉ: 6/2 KDC METRO, P.HƯNG LỢI, Q.NINH KIỀU, TPCT... Xem thêm ","75901","NhaTro/image_motel/23.jpg","Dưới 1 triệu","Rất tốt"
"24","Cho thuê phòng trọ đầy đủ tiện nghi tại trung tâm TP.Cần Thơ","Rất tốt","Địa chỉ: 21/3 tran phu ,ninh kieu ,can tho","Ninh Kiều","4","DT: 16.00 m²","1500000","Phòng trọ đẹp, sạch sẽ, thoáng mát, yên tĩnh, đầy đủ tiện nghi có sẵn, bao gồm: tivi, máy lạnh, máy nước nóng, tủ quần áo, wifi tại địa chỉ số 21/3 Trần Phú, tp Cần Thơ, ngay đầu hẻm (gần khu trung tâm thương mại, ăn uống, siêu thị,... Xem thêm ","32638","NhaTro/image_motel/24.jpg","1 triệu - 2 triệu","Khá"
"25","Cho thuê phòng trọ đầy đủ tiện nghi tại trung tâm TP.Cần Thơ","Rất tốt","Địa chỉ: 21/3 tran phu ,ninh kieu ,tp can tho","Ninh Kiều","3","DT: 17.00 m²","1500000","Phòng trọ đẹp, sạch sẽ, thoáng mát, yên tĩnh, đầy đủ tiện nghi có sẵn, bao gồm: tivi, máy lạnh, máy nước nóng, tủ quần áo, wifi tại địa chỉ số 21/3 Trần Phú, tp Cần Thơ, ngay đầu hẻm (gần khu trung tâm thương mại, ăn uống, siêu thị,... Xem thêm ","17810","NhaTro/image_motel/25.jpg","1 triệu - 2 triệu","Khá"
"26","Cho thuê phòng trọ đầy đủ tiện nghi tại trung tâm TP.Cần Thơ","Rất tốt","Địa chỉ: 21 tran phu ,ninh kieu can tho","Ninh Kiều","4","DT: 16.00 m²","1500000","Phòng trọ đẹp, sạch sẽ, thoáng mát, yên tĩnh, đầy đủ tiện nghi có sẵn, bao gồm: tivi, máy lạnh, máy nước nóng, tủ quần áo, wifi tại địa chỉ số 21/3 Trần Phú, tp Cần Thơ, ngay đầu hẻm (gần khu trung tâm thương mại, ăn uống, siêu thị,... Xem thêm ","25843","NhaTro/image_motel/26.jpg","1 triệu - 2 triệu","Khá"
"27","Phòng trọ sinh viên giá rẻ địa chỉ 286/13 CMT8","Trung bình","Địa chỉ: 286/13 cmt8 ,ninh kieu ,can tho","Ninh Kiều","5","DT: 10.00 m²","700000","Phòng  trọ sinh viên giá rẻ địa chỉ 286/13 CMT8 đối diện thpt lý tự trọng ,phòng trọ khu vực an ninh sạch sẽ mới xây ,vị trí gần chợ ,gần trường cao đẳng nghề cần thơ ,cơ sở y tế ….wifi tốc độ cao ,giờ giấc tự do ,giá... Xem thêm ","45577","NhaTro/image_motel/27.jpg","Dưới 1 triệu","Khá"
"28","PHÒNG TRỌ GIÁ HOT : 700k/tháng – LH : 0918 319 117","Rất tốt","Địa chỉ: ĐƯỜNG VÔ LỘ NGÂN HÀNG GẦN TRƯỜNG ĐHYD CẦN THƠ","ĐHYD Cần Thơ","5","DT: 16.00 m²","700000","Nhà trọ đường vào lộ Ngân hàng (lò bánh Diên Thạnh) yên tĩnh, anh ninh, xe 4 bánh tới nhà ( gần trường ĐHYD – ĐH NAM SÔNG CẦN THƠ– các trường TC khác …)   Phòng mới sạch sẽ có nhà vs , bếp trong phòng  Wifi cáp... Xem thêm ","39023","NhaTro/image_motel/28.jpg","Dưới 1 triệu","Khá"
"29","Cho thuê nhà trọ (Ninh Kiều, Cần Thơ)","Rất tốt","Địa chỉ: Hẻm liên tổ 5-6, nguyễn văn linh, ninh kiều, cần thơ","Ninh Kiều","5","DT: 32.00 m²","1500000","Nhà trọ Chiến (dành cho sinh viên, cán bộ công chức thuê tháng): mới xây 100%,  Phòng 32m2 (có gác bê tông rộng rãi và ban công) Đ/c: hẻm liên tổ 5+6 (hẻm rộng 4m) lộ 91B (tức Nguyễn Văn Linh) đối diện đa khoa TW TP CT. vào hẻm... Xem thêm ","86644","NhaTro/image_motel/29.jpg","1 triệu - 2 triệu","Rất tốt"
"30","Nhà trọ Mini cao cấp mới xây trung tâm quận Ninh Kiều","Khá tốt","Địa chỉ: Hẻm 304/10  Tầm Vu, Phường Hưng Lợi, Quận Ninh Kiều, TP.Cần Thơ","Ninh Kiều","5","DT: 45.00 m²","1000000","Nhà trọ mini cao cấp mới xây, thích hợp cho gia đình nhỏ, công viên chức, sinh viên. Hẻm rộng 4m , xe 4 bánh vào được  , vừa ở vừa tiện kinh doanh ngay trung tâm cầu Hưng Lợi. Mô tả: • Gồm 14 căn hộ mini + gác... Xem thêm ","60848","NhaTro/image_motel/30.jpg","Trên 2 triệu","Tốt"
"31","NHÀ TRỌ CHO TÂN SINH VIÊN, GẦN TRƯỜNG ĐẠI HỌC Y DƯỢC, SAU LƯNG BỆNH VIỆN PHƯƠNG CHÂU.","Rất tốt","Địa chỉ: 322G / 10 A, KV 4, P.An Bình, Q.Ninh Kiều – TP.Cần Thơ hẻm 10A","Ninh Kiều","5","DT: 25.00 m²","850000","Khu nhà trọ  có 2 cửa sổ nhìn ra bên ngoài, có hàng rào cao chắn an toàn,  có sân phơi đồ thoáng mát, nơi yên tĩnh, tiện cho việc học tập. - Đặc biệt có phòng có máy lạnh. Phòng có thể ở từ 3-4 người. - Nội thất... Xem thêm ","98922","NhaTro/image_motel/31.png","Dưới 1 triệu","Rất tốt"
"32","CHO THUÊ PHÒNG TRỌ MỚI XÂY, GẦN TRƯỜNG ĐẠI HỌC Y DƯỢC, SAU LƯNG BỆNH VIỆN PHƯƠNG CHÂU","Trung bình","Địa chỉ: 322G / 10 A, KV 4, P.An Bình, Q.Ninh Kiều – TP.Cần Thơ","Ninh Kiều","3","DT: 20.00 m²","1000000","Nhà trọ mới xây  ,  có 2 cửa sổ nhìn ra bên ngoài, có hàng rào cao chắn an toàn,  có sân phơi đồ thoáng mát, nơi yên tĩnh, tiện cho việc học tập. Đặc biệt có phòng có máy lạnh. Phòng có thể ở từ 3-4 người. Nội thất... Xem thêm ","20217","NhaTro/image_motel/32.jpg","Trên 2 triệu","Khá"
"33","Khai trương Căn Hộ Mi Ni Cao Cấp trung tâm quận Ninh Kiều","Trung bình","Địa chỉ: Hẻm 304/10  Tầm Vu, Phường Hưng Lợi, Quận Ninh Kiều, TP.Cần Thơ","Ninh Kiều","5","DT: 25.00 m²","1000000","Khai trương căn hộ mini cao cấp mới xây, thích hợp cho gia đình nhỏ, công viên chức, sinh viên. Hẻm rộng 4m , xe 4 bánh vào được  , vừa ở vừa tiện kinh doanh ngay trung tâm cầu Hưng Lợi. Mô tả: • Gồm 14 căn hộ mini... Xem thêm ","56905","NhaTro/image_motel/33.jpg","Trên 2 triệu","Tốt"
"34","Cho thuê phòng trọ đối diện BV nhi đồng, giá 800 ngàn/tháng","Rất tốt","Địa chỉ: Nguyễn Văn Cừ (nối dài), quận Ninh Kiều, thành phố Cần Thơ","Ninh Kiều","5","DT: 20.00 m²","800000","Dãy phòng trọ nằm đối điện BV Nhi đồng (mới), gần Đại học Y dược, Cao đẳng Y tế, Cao đẳng kinh tế kỹ thuật, thích hợp cho nhân viên bệnh viện nhi, sinh viên các trường đh, cao đẳng. Phòng có gác, dt 20m2, rộng rãi, thoáng mát, mới... Xem thêm ","31039","NhaTro/image_motel/34.jpg","Dưới 1 triệu","Khá"
"35","Cho sinh viên thuê phòng trọ mới, đầy đủ tiên nghi, 700k, Cần Thơ","Rất tốt","Địa chỉ: Nguyễn Văn Linh,Cần Thơ","Ninh Kiều","5","DT: 16.00 m²","700000"," Cho sinh viên thuê phòng trọ mới.    Có giường, kệ bếp, sàn lót rửa chén, bàn ghế, wifi, phòng vệ sinh riêng.    Gần trường ĐH Cần Thơ, Y Dược, siêu thị, bến xe....   Giá 700.000đ/tháng.    Địa chỉ: Nguyễn văn Linh, Q.Ninh Kiều, cần Thơ.   Điện thoại: 0913.973.490... Xem thêm ","49558","NhaTro/image_motel/35.jpg","Dưới 1 triệu","Khá"
"36","phòng riêng biệt tiện nghi cách siêu thị Big C khoản 500m","Khá tốt","Địa chỉ: số nhà C11 - Đường số 26 - KĐTM Hưng phú - Cái Răng - Cần Thơ","Cái Răng","4","DT: 25.00 m²","1800000","Phòng đẹp lung linh tiện nghi nằm mặt tiền đường, khu dân cư trí thức, nơi ở an ninh thích hợp nhân viên văn phòng, nữ sinh viên học tập và lam việc. gần trường học, bệnh viện, chợ, siêu thị. cách trung tâm tp chỉ mất vài phút đi... Xem thêm ","32992","NhaTro/image_motel/36.jpg","1 triệu - 2 triệu","Khá"
"37","CHO THUE NHA TRO GAN DAI HOC TAY DO","Rất tốt","Địa chỉ: 09D KV Thanh Hue, P Thuong Thanh, Q. Cai Răng, TPCT","Cái Răng","3","DT: 16.00 m²","700000","** Nhà trọ Minh Luân:  + Nhà trọ cách cổng chính Đại học Tây Đô 500m ( Nằm gần Cầu Lê Bình Phía bên cây xăng chín Giang)  + Tổng diện tích sử dụng: 16m2 (có giường, wc trong phòng).  + Miễn phí wifi.  + An ninh, yên tĩnh và... Xem thêm ","27968","NhaTro/image_motel/37.jpg","Dưới 1 triệu","Khá"
"38","phòng trọ 600.000 quận ô môn,BV Lao, CĐ cơ điện TW","Rất tốt","Địa chỉ: 69 LỘ VÒNG CUNG, KV BÌNH HÒA A, P.PHƯỚC THỚI, Q.Ô MÔN.","Ô Môn","2","DT: 20.00 m²","600000","Nhà trọ HOÀNG ĐẠI cách bệnh viện lao 300m, trường cao đẳng cơ điện 300m (LỘ TẺ BA XE). Phòng 20m2 + có gác bê tông kiên cố 10m2. Có bếp + sàn nước + nhà vệ sinh rộng rãi trong phòng. Khuôn viên rộng rãi, thoáng mát, wifi tốc... Xem thêm ","13763","NhaTro/image_motel/38.jpg","Dưới 1 triệu","Khá"
"39","Cho Thuê NHÀ TRỌ NGÂN SƠN (Đường Nguyễn Văn Cừ-Gần ĐHYD Cần Thơ).","Rất tốt","Địa chỉ: Địa chỉ: 388F35 (Hẻm liên tổ 3-4), Nguyễn Văn    Cừ, TPCT.","Ninh Kiều","5","DT: 24.00 m²","1000000","Cho Thuê NHÀ TRỌ NGÂN SƠN (Đường Nguyễn Văn Cừ-Gần ĐHYD Cần Thơ).  Phòng đẹp, sạch sẽ, thoáng mát, diện tích 24m2 ,có gác đúc.             Giá: 1 triệu/tháng.  Địa chỉ: 388F35 (Hẻm liên tổ 3-4), Nguyễn Văn    Cừ, TPCT.  Điện thoại liên hệ: 0939.016650 (Chị Tiên).... Xem thêm ","55190","NhaTro/image_motel/39.jpg","Trên 2 triệu","Tốt"
"40","Cho thuê phòng trọ tại Cái Răng","Rất tốt","Địa chỉ: 236 KV 2 P. Ba Láng Q. Cái Răng TP Cần Thơ","Ninh Kiều","5","DT: 20.00 m²","800000","Nhà trọ sạch sẽ thoáng mát, an ninh, có sân phơi đồ và chổ đậu xe rộng rãi, Wifi, gần ĐH Võ Trường Toản. Cách chợ số 10 1km. Chợ số 10 chạy thẳng đến vật liệu xây dựng Dũng Thúy là tới.Rất thuận tiện cho việc đi chợ nấu... Xem thêm ","52758","NhaTro/image_motel/40.jpg","Dưới 1 triệu","Tốt"
"41","Cho thuê phòng trọ - thích hợp với nữ sinh viên hoặc người đi làm còn độc thân","Rất tốt","Địa chỉ: 43/117 đường 3/2  Xuân Khánh, Ninh Kiều, TP Cần Thơ ( cạnh cổng C Đại Học Cần Thơ )","Ninh Kiều","3","DT: 18.00 m²","1400000","Cho thuê phòng trọ Q. Ninh Kiều - Phòng có cửa sổ thoáng mát, ốp gạch sạch sẽ - Có chỗ để xe  - Nhà trọ yên tĩnh, an ninh, khu dân trí cao ,gần trường Đại Học Cần Thơ. - tự do thời gian và không gian riêng tư,... Xem thêm ","17267","NhaTro/image_motel/41.jpg","1 triệu - 2 triệu","Khá"
